model,pred_class,category,mean,ci_lo,ci_hi,ci_width
biasdetector,TP,Emotional/Evaluative,93.966,91.0,97.0,6.0
biasdetector,TP,Explicit Bias Terms,2.148,1.0,3.0,2.0
biasdetector,TP,Framing/Reporting Verbs,1.744,0.0,3.0,3.0
biasdetector,TP,Function/Temporal Words,2.142,1.0,4.0,3.0
biasdetector,FP,Emotional/Evaluative,90.042,85.0,94.0,9.0
biasdetector,FP,Explicit Bias Terms,0.614,0.0,1.0,1.0
biasdetector,FP,Framing/Reporting Verbs,2.143,1.0,3.0,2.0
biasdetector,FP,Function/Temporal Words,7.201,4.0,11.0,7.0
daroberta,TP,Emotional/Evaluative,93.898,92.0,96.0,4.0
daroberta,TP,Explicit Bias Terms,1.266,0.0,2.0,2.0
daroberta,TP,Framing/Reporting Verbs,4.711,3.0,6.0,3.0
daroberta,TP,Function/Temporal Words,0.125,0.0,1.0,1.0
daroberta,FP,Emotional/Evaluative,78.79493747286149,73.0,85.0,12.0
daroberta,FP,Explicit Bias Terms,0.0,0.0,0.0,0.0
daroberta,FP,Framing/Reporting Verbs,3.665316543638732,1.0,5.0,4.0
daroberta,FP,Function/Temporal Words,17.53974598349978,11.0,24.0,13.0
