method,percentile_or_K,model,pred_class,category,proportion,n_selected
proportional_K,5.0,biasdetector,TP,Emotional/Evaluative,95.1219512195122,82
proportional_K,5.0,biasdetector,TP,Explicit Bias Terms,3.658536585365854,82
proportional_K,5.0,biasdetector,TP,Framing/Reporting Verbs,0.0,82
proportional_K,5.0,biasdetector,TP,Function/Temporal Words,1.2195121951219512,82
proportional_K,10.0,biasdetector,TP,Emotional/Evaluative,95.70552147239263,163
proportional_K,10.0,biasdetector,TP,Explicit Bias Terms,1.8404907975460123,163
proportional_K,10.0,biasdetector,TP,Framing/Reporting Verbs,1.8404907975460123,163
proportional_K,10.0,biasdetector,TP,Function/Temporal Words,0.6134969325153374,163
proportional_K,20.0,biasdetector,TP,Emotional/Evaluative,96.3302752293578,327
proportional_K,20.0,biasdetector,TP,Explicit Bias Terms,0.9174311926605505,327
proportional_K,20.0,biasdetector,TP,Framing/Reporting Verbs,1.2232415902140672,327
proportional_K,20.0,biasdetector,TP,Function/Temporal Words,1.529051987767584,327
proportional_K,30.0,biasdetector,TP,Emotional/Evaluative,96.3265306122449,490
proportional_K,30.0,biasdetector,TP,Explicit Bias Terms,0.6122448979591837,490
proportional_K,30.0,biasdetector,TP,Framing/Reporting Verbs,0.8163265306122449,490
proportional_K,30.0,biasdetector,TP,Function/Temporal Words,2.2448979591836733,490
proportional_K,5.0,biasdetector,FP,Emotional/Evaluative,90.9090909090909,33
proportional_K,5.0,biasdetector,FP,Explicit Bias Terms,3.0303030303030303,33
proportional_K,5.0,biasdetector,FP,Framing/Reporting Verbs,3.0303030303030303,33
proportional_K,5.0,biasdetector,FP,Function/Temporal Words,3.0303030303030303,33
proportional_K,10.0,biasdetector,FP,Emotional/Evaluative,90.9090909090909,66
proportional_K,10.0,biasdetector,FP,Explicit Bias Terms,1.5151515151515151,66
proportional_K,10.0,biasdetector,FP,Framing/Reporting Verbs,3.0303030303030303,66
proportional_K,10.0,biasdetector,FP,Function/Temporal Words,4.545454545454546,66
proportional_K,20.0,biasdetector,FP,Emotional/Evaluative,92.42424242424242,132
proportional_K,20.0,biasdetector,FP,Explicit Bias Terms,0.7575757575757576,132
proportional_K,20.0,biasdetector,FP,Framing/Reporting Verbs,2.272727272727273,132
proportional_K,20.0,biasdetector,FP,Function/Temporal Words,4.545454545454546,132
proportional_K,30.0,biasdetector,FP,Emotional/Evaluative,90.9090909090909,198
proportional_K,30.0,biasdetector,FP,Explicit Bias Terms,0.5050505050505051,198
proportional_K,30.0,biasdetector,FP,Framing/Reporting Verbs,2.0202020202020203,198
proportional_K,30.0,biasdetector,FP,Function/Temporal Words,6.565656565656566,198
proportional_K,5.0,daroberta,TP,Emotional/Evaluative,91.78082191780823,73
proportional_K,5.0,daroberta,TP,Explicit Bias Terms,2.73972602739726,73
proportional_K,5.0,daroberta,TP,Framing/Reporting Verbs,5.47945205479452,73
proportional_K,5.0,daroberta,TP,Function/Temporal Words,0.0,73
proportional_K,10.0,daroberta,TP,Emotional/Evaluative,94.48275862068965,145
proportional_K,10.0,daroberta,TP,Explicit Bias Terms,1.3793103448275863,145
proportional_K,10.0,daroberta,TP,Framing/Reporting Verbs,4.137931034482759,145
