view,model,n,pos,auprc,baseline
full,biasdetector,7984,1623,0.3914915550474646,0.2032815631262525
full,daroberta,7984,1623,0.41208908154101404,0.2032815631262525
lex-only,biasdetector,6766,405,0.19453807928251055,0.05985811409991132
lex-only,daroberta,6766,405,0.2093792448899091,0.05985811409991132
inf-only,biasdetector,7535,1174,0.2900380936023351,0.1558062375580624
inf-only,daroberta,7535,1174,0.31271110706551075,0.1558062375580624
both-types,biasdetector,6405,44,0.058279916798792436,0.006869633099141296
both-types,daroberta,6405,44,0.10132980008257288,0.006869633099141296
quote-excluded,biasdetector,7297,936,0.27480625924349555,0.12827189255858573
quote-excluded,daroberta,7297,936,0.27404521953135796,0.12827189255858573
quote-only,biasdetector,7048,687,0.22581654839966164,0.09747446083995459
quote-only,daroberta,7048,687,0.2701782103673689,0.09747446083995459
