view,model,n,pos,pos_rate,acc,P,R,F1,TP,FP,TN,FN
full,biasdetector,7984,1623,0.2032815631262525,0.7865731462925851,0.4634146341463415,0.31608133086876156,0.3758241758241758,513,594,5767,1110
full,daroberta,7984,1623,0.2032815631262525,0.7940881763527055,0.4883720930232558,0.27171903881700554,0.3491686460807601,441,462,5899,1182
full,deberta,7984,1623,0.2032815631262525,0.7914579158316634,0.47058823529411764,0.20702402957486138,0.28754813863928114,336,378,5983,1287
lex-only,biasdetector,6766,405,0.05985811409991132,0.8765888264853681,0.21635883905013192,0.4049382716049383,0.2820292347377472,164,594,5767,241
lex-only,daroberta,6766,405,0.05985811409991132,0.8928465858705291,0.23509933774834438,0.3506172839506173,0.2814667988107037,142,462,5899,263
lex-only,deberta,6766,405,0.05985811409991132,0.8992018918120012,0.21085594989561587,0.24938271604938272,0.22850678733031674,101,378,5983,304
inf-only,biasdetector,7535,1174,0.1558062375580624,0.8086264100862641,0.35434782608695653,0.2776831345826235,0.3113658070678128,326,594,5767,848
inf-only,daroberta,7535,1174,0.1558062375580624,0.8192435301924353,0.37228260869565216,0.23339011925042588,0.2869109947643979,274,462,5899,900
inf-only,deberta,7535,1174,0.1558062375580624,0.8229595222295952,0.36577181208053694,0.18568994889267462,0.24632768361581922,218,378,5983,956
both-types,biasdetector,6405,44,0.006869633099141296,0.9039812646370023,0.03727714748784441,0.5227272727272727,0.06959152798789713,23,594,5767,21
both-types,daroberta,6405,44,0.006869633099141296,0.9249024199843872,0.0513347022587269,0.5681818181818182,0.09416195856873823,25,462,5899,19
both-types,deberta,6405,44,0.006869633099141296,0.936768149882904,0.043037974683544304,0.38636363636363635,0.0774487471526196,17,378,5983,27
quote-excluded,biasdetector,7297,936,0.12827189255858573,0.8308894066054543,0.3325842696629214,0.3162393162393162,0.32420591456736036,296,594,5767,640
quote-excluded,daroberta,7297,936,0.12827189255858573,0.8404823900232973,0.33620689655172414,0.25,0.2867647058823529,234,462,5899,702
quote-excluded,deberta,7297,936,0.12827189255858573,0.8467863505550226,0.34146341463414637,0.2094017094017094,0.2596026490066225,196,378,5983,740
quote-only,biasdetector,7048,687,0.09747446083995459,0.8490351872871736,0.2675709001233046,0.3158660844250364,0.2897196261682243,217,594,5767,470
quote-only,daroberta,7048,687,0.09747446083995459,0.8663450624290578,0.3094170403587444,0.30131004366812225,0.3053097345132743,207,462,5899,480
quote-only,deberta,7048,687,0.09747446083995459,0.8687570942111237,0.2702702702702703,0.20378457059679767,0.23236514522821577,140,378,5983,547
