view,model,threshold,n,pos,P,R,F1,TP,FP,TN,FN
full,biasdetector,0.3,7984,1623,0.4310706787963611,0.3795440542205792,0.4036697247706422,616,813,5548,1007
full,biasdetector,0.4,7984,1623,0.44940239043824703,0.34750462107208874,0.3919388464211258,564,691,5670,1059
full,biasdetector,0.5,7984,1623,0.4634146341463415,0.31608133086876156,0.3758241758241758,513,594,5767,1110
full,biasdetector,0.6,7984,1623,0.473792394655704,0.2840418977202711,0.3551617873651772,461,512,5849,1162
full,daroberta,0.3,7984,1623,0.435546875,0.4121996303142329,0.4235517568850902,669,867,5494,954
full,daroberta,0.4,7984,1623,0.46767050487156775,0.32532347504621073,0.38372093023255816,528,601,5760,1095
full,daroberta,0.5,7984,1623,0.4883720930232558,0.27171903881700554,0.3491686460807601,441,462,5899,1182
full,daroberta,0.6,7984,1623,0.5253077975376197,0.2365988909426987,0.3262531860662702,384,347,6014,1239
lex-only,biasdetector,0.3,6766,405,0.1902390438247012,0.47160493827160493,0.27111426543647976,191,813,5548,214
lex-only,biasdetector,0.4,6766,405,0.2057471264367816,0.4419753086419753,0.2807843137254902,179,691,5670,226
lex-only,biasdetector,0.5,6766,405,0.21635883905013192,0.4049382716049383,0.2820292347377472,164,594,5767,241
lex-only,biasdetector,0.6,6766,405,0.22188449848024316,0.36049382716049383,0.27469426152398874,146,512,5849,259
lex-only,daroberta,0.3,6766,405,0.18744142455482662,0.49382716049382713,0.2717391304347826,200,867,5494,205
lex-only,daroberta,0.4,6766,405,0.21437908496732025,0.4049382716049383,0.28034188034188035,164,601,5760,241
lex-only,daroberta,0.5,6766,405,0.23509933774834438,0.3506172839506173,0.2814667988107037,142,462,5899,263
lex-only,daroberta,0.6,6766,405,0.266384778012685,0.3111111111111111,0.2870159453302961,126,347,6014,279
inf-only,biasdetector,0.3,7535,1174,0.328099173553719,0.338160136286201,0.33305369127516776,397,813,5548,777
inf-only,biasdetector,0.4,7535,1174,0.3431558935361217,0.3074957410562181,0.3243486073674753,361,691,5670,813
inf-only,biasdetector,0.5,7535,1174,0.35434782608695653,0.2776831345826235,0.3113658070678128,326,594,5767,848
inf-only,biasdetector,0.6,7535,1174,0.36476426799007444,0.2504258943781942,0.296969696969697,294,512,5849,880
inf-only,daroberta,0.3,7535,1174,0.3366488140780413,0.3747870528109029,0.354695687222894,440,867,5494,734
inf-only,daroberta,0.4,7535,1174,0.35927505330490406,0.2870528109028961,0.3191287878787879,337,601,5760,837
inf-only,daroberta,0.5,7535,1174,0.37228260869565216,0.23339011925042588,0.2869109947643979,274,462,5899,900
inf-only,daroberta,0.6,7535,1174,0.40480274442538594,0.2010221465076661,0.2686397268070575,236,347,6014,938
both-types,biasdetector,0.3,6405,44,0.03329369797859691,0.6363636363636364,0.06327683615819209,28,813,5548,16
both-types,biasdetector,0.4,6405,44,0.033566433566433566,0.5454545454545454,0.06324110671936758,24,691,5670,20
both-types,biasdetector,0.5,6405,44,0.03727714748784441,0.5227272727272727,0.06959152798789713,23,594,5767,21
both-types,biasdetector,0.6,6405,44,0.039399624765478425,0.4772727272727273,0.07279029462738301,21,512,5849,23
both-types,daroberta,0.3,6405,44,0.03236607142857143,0.6590909090909091,0.06170212765957447,29,867,5494,15
both-types,daroberta,0.4,6405,44,0.042993630573248405,0.6136363636363636,0.08035714285714286,27,601,5760,17
both-types,daroberta,0.5,6405,44,0.0513347022587269,0.5681818181818182,0.09416195856873823,25,462,5899,19
both-types,daroberta,0.6,6405,44,0.05962059620596206,0.5,0.10653753026634383,22,347,6014,22
quote-excluded,biasdetector,0.3,7297,936,0.3015463917525773,0.375,0.3342857142857143,351,813,5548,585
quote-excluded,biasdetector,0.4,7297,936,0.3192118226600985,0.34615384615384615,0.33213736545361355,324,691,5670,612
quote-excluded,biasdetector,0.5,7297,936,0.3325842696629214,0.3162393162393162,0.32420591456736036,296,594,5767,640
quote-excluded,biasdetector,0.6,7297,936,0.3410553410553411,0.2831196581196581,0.30939871570344424,265,512,5849,671
quote-excluded,daroberta,0.3,7297,936,0.28641975308641976,0.3717948717948718,0.32357043235704325,348,867,5494,588
quote-excluded,daroberta,0.4,7297,936,0.3178206583427923,0.29914529914529914,0.3082003302146395,280,601,5760,656
quote-excluded,daroberta,0.5,7297,936,0.33620689655172414,0.25,0.2867647058823529,234,462,5899,702
quote-excluded,daroberta,0.6,7297,936,0.37364620938628157,0.22115384615384615,0.2778523489932886,207,347,6014,729
quote-only,biasdetector,0.3,7048,687,0.24582560296846012,0.38573508005822416,0.3002832861189802,265,813,5548,422
quote-only,biasdetector,0.4,7048,687,0.2577873254564984,0.34934497816593885,0.29666254635352285,240,691,5670,447
quote-only,biasdetector,0.5,7048,687,0.2675709001233046,0.3158660844250364,0.2897196261682243,217,594,5767,470
quote-only,biasdetector,0.6,7048,687,0.2768361581920904,0.2852983988355167,0.2810035842293907,196,512,5849,491
quote-only,daroberta,0.3,7048,687,0.2702020202020202,0.4672489082969432,0.3424,321,867,5494,366
quote-only,daroberta,0.4,7048,687,0.2921083627797409,0.3609898107714702,0.3229166666666667,248,601,5760,439
quote-only,daroberta,0.5,7048,687,0.3094170403587444,0.30131004366812225,0.3053097345132743,207,462,5899,480
quote-only,daroberta,0.6,7048,687,0.3377862595419847,0.2576419213973799,0.29232039636663915,177,347,6014,510
