model,triplet_uuid,outlet_idx,sentence_idx,category,biased,has_lex,has_inf,has_both_types,quote_status,mean_abs_shap,max_abs_shap,n_tokens,n_word_attribs
biasdetector,7a97de89-1433-46f7-bcc2-f80b041cb9a0,3,13,TP,1,0,1,0,no_quote,0.09504906704382005,0.559127387474291,22,18
biasdetector,2b95d2cf-e979-4f9c-ae27-9a5370934f23,3,20,TP,1,0,1,0,no_quote,0.0881002760226173,0.32230121188331395,20,14
biasdetector,3ae35b16-7f7f-4a5e-9f24-5ce724106a73,3,8,TP,1,0,1,0,all_in_quote,0.018709740602839756,0.11826217717801532,64,53
biasdetector,b7021938-ff8d-42ea-adec-5704c0b65237,2,25,TP,1,1,0,0,no_quote,0.03874275742693701,0.19059790885366965,33,27
biasdetector,c9e4d35f-aeae-462b-a8bf-e08d09a93b6e,1,14,TP,1,1,1,1,all_in_quote,0.03814162234322453,0.3469265646999702,49,34
biasdetector,df5fe55a-dfcb-4817-8631-830f47c21a72,3,5,TP,1,0,1,0,no_quote,0.08904060516506433,0.15736139239743352,15,10
biasdetector,84678e18-0b79-4570-9c9f-cb1cf88d968e,1,1,TP,1,1,0,0,no_quote,0.07542259019938412,0.3090277190785855,25,19
biasdetector,79bf99c6-6fca-4ce4-8ae1-8771de026142,2,33,TP,1,1,0,0,no_quote,0.05347454233359223,0.2016511029563844,31,16
biasdetector,7f9c83f7-3efa-4c7a-adef-3ebdeda96042,3,12,TP,1,0,1,0,no_quote,0.033306493432661365,0.1349939745850861,48,38
biasdetector,8dc7ccfe-5cf0-482f-9101-a7c69881da4d,2,14,TP,1,0,1,0,all_in_quote,0.040343077701982116,0.1790639893927922,29,22
biasdetector,a28a0329-0887-42dc-bd3d-3bb4f8926757,3,23,TP,1,0,1,0,no_quote,0.017822799741010056,0.11570161345757007,60,48
biasdetector,0c78e748-efbf-417c-a8c1-beeb6480147f,2,3,TP,1,0,1,0,all_in_quote,0.05490174067894086,0.24540552112739533,32,21
biasdetector,472158a1-4e39-4214-8397-904e66f2b4c5,3,22,TP,1,0,1,0,all_in_quote,0.020529384180093296,0.2567958710160816,53,43
biasdetector,76810849-0335-4ad3-9eaf-f0d9c5baceb6,3,5,TP,1,0,1,0,all_in_quote,0.07678242035714598,0.31923280749469995,25,20
biasdetector,b5eefefb-2a33-45de-abe1-f855c94165f4,2,53,TP,1,0,1,0,no_quote,0.08781660061371936,0.1902288207784295,19,11
biasdetector,7f9c83f7-3efa-4c7a-adef-3ebdeda96042,1,28,TP,1,1,1,1,no_quote,0.015056581250924834,0.1243492936094602,49,41
biasdetector,b7021938-ff8d-42ea-adec-5704c0b65237,2,23,TP,1,0,1,0,all_in_quote,0.06062204968598155,0.17171456350479275,26,15
