model,stratum,triplet_uuid,outlet_idx,sentence_idx
biasdetector,magnitude_TP,7a97de89-1433-46f7-bcc2-f80b041cb9a0,3,13
biasdetector,magnitude_TP,2b95d2cf-e979-4f9c-ae27-9a5370934f23,3,20
biasdetector,magnitude_TP,3ae35b16-7f7f-4a5e-9f24-5ce724106a73,3,8
biasdetector,magnitude_TP,b7021938-ff8d-42ea-adec-5704c0b65237,2,25
biasdetector,magnitude_TP,c9e4d35f-aeae-462b-a8bf-e08d09a93b6e,1,14
biasdetector,magnitude_TP,df5fe55a-dfcb-4817-8631-830f47c21a72,3,5
biasdetector,magnitude_TP,84678e18-0b79-4570-9c9f-cb1cf88d968e,1,1
biasdetector,magnitude_TP,79bf99c6-6fca-4ce4-8ae1-8771de026142,2,33
biasdetector,magnitude_TP,7f9c83f7-3efa-4c7a-adef-3ebdeda96042,3,12
biasdetector,magnitude_TP,8dc7ccfe-5cf0-482f-9101-a7c69881da4d,2,14
biasdetector,magnitude_TP,a28a0329-0887-42dc-bd3d-3bb4f8926757,3,23
biasdetector,magnitude_TP,0c78e748-efbf-417c-a8c1-beeb6480147f,2,3
biasdetector,magnitude_TP,472158a1-4e39-4214-8397-904e66f2b4c5,3,22
biasdetector,magnitude_TP,76810849-0335-4ad3-9eaf-f0d9c5baceb6,3,5
biasdetector,magnitude_TP,b5eefefb-2a33-45de-abe1-f855c94165f4,2,53
biasdetector,magnitude_TP,7f9c83f7-3efa-4c7a-adef-3ebdeda96042,1,28
biasdetector,magnitude_TP,b7021938-ff8d-42ea-adec-5704c0b65237,2,23
biasdetector,magnitude_TP,1ed4f378-b9d4-43b8-8d50-53d0cc063332,3,4
biasdetector,magnitude_TP,8abec8d9-50a2-480e-969a-157f94954f4d,1,5
biasdetector,magnitude_TP,c99adbdd-eaf3-4844-9548-2642e80de4e2,3,17
biasdetector,magnitude_TP,86e6e27d-1440-4879-8b13-0dd2d89f7281,1,8
biasdetector,magnitude_TP,8dac6c12-b5ca-468c-a249-7e0ab42f6b52,3,10
biasdetector,magnitude_TP,550b80db-bdd5-442b-8f70-c8e9f3203a13,1,18
biasdetector,magnitude_TP,47a209b0-fc26-4a0a-a1fe-e4310d1d2419,1,0
biasdetector,magnitude_TP,65cb14cb-2d27-41e5-a2be-6fd6314f4363,2,28
biasdetector,magnitude_TP,f688c56d-7fae-42ef-b7f7-7db207b58d27,3,11
biasdetector,magnitude_TP,84b3c118-50d2-45a5-a91f-7ed95b5d0143,2,53
biasdetector,magnitude_TP,3ae35b16-7f7f-4a5e-9f24-5ce724106a73,1,27
biasdetector,magnitude_TP,005a2961-0c2e-4575-8eec-770ba52a08e0,3,28
biasdetector,magnitude_TP,6f95dcb9-e960-45ac-8c0e-91b85724c909,3,1
biasdetector,magnitude_TP,79bf99c6-6fca-4ce4-8ae1-8771de026142,3,34
biasdetector,magnitude_TP,1ed4f378-b9d4-43b8-8d50-53d0cc063332,3,7
biasdetector,magnitude_TP,0ffb34cd-c367-4d90-aca7-7fcac3ed8f3d,1,1
biasdetector,magnitude_TP,59f2f47c-5da0-4fbc-be6e-4f15d45d82e2,1,1
biasdetector,magnitude_TP,96b7046f-f584-422f-a626-6f86a26dfd8b,3,3
biasdetector,magnitude_TP,6f95dcb9-e960-45ac-8c0e-91b85724c909,3,23
biasdetector,magnitude_TP,ad409798-ee94-4436-92c5-92669193be14,2,17
biasdetector,magnitude_TP,c99adbdd-eaf3-4844-9548-2642e80de4e2,2,29
biasdetector,magnitude_TP,c21cb217-3e2c-49bd-884d-5c74a165ef10,1,0
biasdetector,magnitude_TP,b5eefefb-2a33-45de-abe1-f855c94165f4,2,16
biasdetector,magnitude_TP,13792511-5142-449f-8d3e-d77d790f65ec,1,5
biasdetector,magnitude_TP,86e6e27d-1440-4879-8b13-0dd2d89f7281,3,6
biasdetector,magnitude_TP,d4a4bc34-e48b-4485-86b2-f1daf4d464dd,3,11
biasdetector,magnitude_TP,8abec8d9-50a2-480e-969a-157f94954f4d,2,22
biasdetector,magnitude_TP,70c75d68-bf65-46a6-a822-15c23d77a275,2,32
biasdetector,magnitude_TP,8dac6c12-b5ca-468c-a249-7e0ab42f6b52,1,23
biasdetector,magnitude_TP,2a3fde8a-082a-4d8f-9567-f7e8366c0200,1,12
biasdetector,magnitude_TP,65cb14cb-2d27-41e5-a2be-6fd6314f4363,1,2
biasdetector,magnitude_TP,2b95d2cf-e979-4f9c-ae27-9a5370934f23,3,7
biasdetector,magnitude_TP,1ed4f378-b9d4-43b8-8d50-53d0cc063332,3,2
biasdetector,magnitude_TP,86e6e27d-1440-4879-8b13-0dd2d89f7281,1,1
biasdetector,magnitude_TP,b7021938-ff8d-42ea-adec-5704c0b65237,2,20
biasdetector,magnitude_TP,550b80db-bdd5-442b-8f70-c8e9f3203a13,3,4
biasdetector,magnitude_TP,65cb14cb-2d27-41e5-a2be-6fd6314f4363,2,17
biasdetector,magnitude_TP,2f3e86b6-8443-47bd-9cd3-491c90a59fe9,1,2
biasdetector,magnitude_TP,96b7046f-f584-422f-a626-6f86a26dfd8b,1,5
biasdetector,magnitude_TP,72fa9b13-4e59-4716-8df9-4c3580e7dddf,3,11
biasdetector,magnitude_TP,a4edca3f-931f-4785-8c3f-f3d8fa84cbec,1,4
biasdetector,magnitude_TP,3ae35b16-7f7f-4a5e-9f24-5ce724106a73,1,29
biasdetector,magnitude_TP,2a3fde8a-082a-4d8f-9567-f7e8366c0200,1,11
biasdetector,magnitude_TP,b7021938-ff8d-42ea-adec-5704c0b65237,2,7
biasdetector,magnitude_TP,01c59743-7082-44fc-8414-3c04126f470f,2,2
biasdetector,magnitude_TP,86e6e27d-1440-4879-8b13-0dd2d89f7281,1,0
biasdetector,magnitude_TP,47a209b0-fc26-4a0a-a1fe-e4310d1d2419,3,30
biasdetector,magnitude_TP,84b3c118-50d2-45a5-a91f-7ed95b5d0143,2,46
biasdetector,magnitude_TP,1ed4f378-b9d4-43b8-8d50-53d0cc063332,1,10
biasdetector,magnitude_TP,1e41e98b-9ac1-441d-b2c2-19d8f730c74a,2,34
biasdetector,magnitude_TP,1ed4f378-b9d4-43b8-8d50-53d0cc063332,1,2
biasdetector,magnitude_TP,2153fb3e-6b09-410c-bfea-d095c49a54ba,1,15
biasdetector,magnitude_TP,2ec04201-2016-4227-baf7-ba8289058203,2,27
biasdetector,magnitude_TP,472158a1-4e39-4214-8397-904e66f2b4c5,1,0
biasdetector,magnitude_TP,3ae35b16-7f7f-4a5e-9f24-5ce724106a73,3,9
biasdetector,magnitude_TP,01c59743-7082-44fc-8414-3c04126f470f,2,27
biasdetector,magnitude_TP,0d10341a-9dba-4374-a524-814c300d1611,2,45
biasdetector,magnitude_TP,3db93526-a344-4ea4-8772-3734d0cfdfb1,1,9
biasdetector,magnitude_TP,c21cb217-3e2c-49bd-884d-5c74a165ef10,3,26
biasdetector,magnitude_TP,6b541575-99b1-40d2-8730-9bb868ee38ed,3,21
biasdetector,magnitude_TP,472158a1-4e39-4214-8397-904e66f2b4c5,3,6
biasdetector,magnitude_TP,59f2f47c-5da0-4fbc-be6e-4f15d45d82e2,3,7
biasdetector,magnitude_TP,d4a4bc34-e48b-4485-86b2-f1daf4d464dd,2,14
biasdetector,magnitude_TP,6f95dcb9-e960-45ac-8c0e-91b85724c909,2,17
biasdetector,magnitude_TP,b7021938-ff8d-42ea-adec-5704c0b65237,1,1
biasdetector,magnitude_TP,8dc7ccfe-5cf0-482f-9101-a7c69881da4d,3,9
biasdetector,magnitude_TP,b764f81f-6d08-4d7c-b1a8-8961bed0a455,3,30
biasdetector,magnitude_TP,13792511-5142-449f-8d3e-d77d790f65ec,3,9
biasdetector,magnitude_TP,d16050b3-979f-4834-90db-b8823691b87e,2,1
biasdetector,magnitude_TP,86e6e27d-1440-4879-8b13-0dd2d89f7281,2,3
biasdetector,magnitude_TP,3ae35b16-7f7f-4a5e-9f24-5ce724106a73,1,7
biasdetector,magnitude_TP,2b95d2cf-e979-4f9c-ae27-9a5370934f23,3,8
biasdetector,magnitude_TP,be026bd1-52b1-4789-bfd3-3632af17b054,2,4
biasdetector,magnitude_TP,13792511-5142-449f-8d3e-d77d790f65ec,2,14
biasdetector,magnitude_TP,0d10341a-9dba-4374-a524-814c300d1611,3,19
biasdetector,magnitude_TP,3ae35b16-7f7f-4a5e-9f24-5ce724106a73,2,17
biasdetector,magnitude_TP,84678e18-0b79-4570-9c9f-cb1cf88d968e,2,32
biasdetector,magnitude_TP,0c78e748-efbf-417c-a8c1-beeb6480147f,3,5
biasdetector,magnitude_TP,450755dd-30d3-478b-933e-917be5c384ba,3,27
biasdetector,magnitude_TP,b764f81f-6d08-4d7c-b1a8-8961bed0a455,3,33
biasdetector,magnitude_TP,450755dd-30d3-478b-933e-917be5c384ba,3,8
biasdetector,magnitude_TP,be026bd1-52b1-4789-bfd3-3632af17b054,2,5
biasdetector,magnitude_TP,70c75d68-bf65-46a6-a822-15c23d77a275,1,30
biasdetector,magnitude_FP,cad4bba5-cf97-45cb-8059-ebeb47dcec7a,2,2
biasdetector,magnitude_FP,0d10341a-9dba-4374-a524-814c300d1611,1,7
biasdetector,magnitude_FP,96b7046f-f584-422f-a626-6f86a26dfd8b,1,9
biasdetector,magnitude_FP,85475456-f38e-4c30-895d-ca2c819c6af1,2,0
biasdetector,magnitude_FP,2a3fde8a-082a-4d8f-9567-f7e8366c0200,1,8
biasdetector,magnitude_FP,526cabb7-02a3-4adb-8e90-ec781c40c498,3,32
