Metric,Original Model (himel7/bias-detector),DA-RoBERTa (mediabiasgroup/da-roberta-babe-ft),Difference (Model 2 - Model 1),Improvement %
Accuracy,0.852,0.823,-0.029000000000000026,-3.403755868544604
Precision,0.9237113402061856,0.9704433497536946,0.046732009547509,5.059157283603095
Recall,0.8014311270125224,0.7048300536672629,-0.09660107334525947,-12.053571428571438
F1 Score (Binary),0.8582375478927203,0.816580310880829,-0.04165723701189128,-4.853811991117689
F1 Score (Macro),0.8517129162057744,0.822782909063603,-0.02893000714217142,-3.39668526703215
F1 Score (Weighted),0.852482822744834,0.8220510024780355,-0.03043182026679847,-3.56978691591858
True Positives,448.0,394.0,-54.0,-12.053571428571429
False Positives,37.0,12.0,-25.0,-67.56756756756756
True Negatives,404.0,429.0,25.0,6.188118811881188
False Negatives,111.0,165.0,54.0,48.64864864864865
